Question,Answer,Answered
"A patient presents with High fever, Bleeding, Shock and Organ failure. What is the most likely diagnosis?",Viral Hemorrhagic Fever,0
"A patient presents with Chest pain, Breathlessness, Palpitations and Fatigue. What is the most likely diagnosis?",Viral Myocarditis,0
"A patient presents with Wheeze, Cough, Difficulty breathing and Fever. What is the most likely diagnosis?",Viral Bronchiolitis,0
"A patient presents with Fever, Weight loss, Splenomegaly and Anemia. What is the most likely diagnosis?",Visceral Leishmaniasis,0
"A patient presents with Patchy depigmentation, Asymptomatic and Sun sensitivity. What is the most likely diagnosis?",Vitiligo,0
"A patient presents with Sudden floaters, Blurred vision and Visual loss. What is the most likely diagnosis?",Vitreous Hemorrhage,0
"A patient presents with Uveitis, Vitiligo, Hearing loss and Meningismus. What is the most likely diagnosis?",Vogt-Koyanagi-Harada Disease,0
"A patient presents with Easy bruising, Mucosal bleeding and Heavy periods. What is the most likely diagnosis?",Von Willebrand Disease,0
"A patient presents with Palpitations, Dizziness, Syncope and Chest pain. What is the most likely diagnosis?",Ventricular Tachycardia,0
"A patient presents with Sudden collapse, Pulselessness and Loss of consciousness. What is the most likely diagnosis?",Ventricular Fibrillation,0
"A patient presents with Heart murmur, Breathlessness, Failure to thrive and Recurrent infections. What is the most likely diagnosis?",Ventricular Septal Defect,0
"A patient presents with Chronic vulvar pain, Burning and Dyspareunia. What is the most likely diagnosis?",Vulvodynia,0
"A patient presents with Soft compressible mass, Swelling and Pain. What is the most likely diagnosis?",Venous Malformation,0
"A patient presents with Abdominal pain, Neuropsychiatric symptoms and Photosensitivity. What is the most likely diagnosis?",Variegate Porphyria,0
"A patient presents with Fatigue, Bleeding and Visual disturbances. What is the most likely diagnosis?",Waldenström Macroglobulinemia,0
"A patient presents with Congenital patchy depigmentation, White forelock and Sensorineural hearing loss. What is the most likely diagnosis?",Waardenburg Syndrome,0
"A patient presents with Severe hypotonia, Developmental delay and Eye abnormalities. What is the most likely diagnosis?",Walker-Warburg Syndrome,0
"A patient presents with Rapid fever, Petechial rash, Shock and Acute adrenal failure. What is the most likely diagnosis?",Waterhouse-Friderichsen Syndrome,0
"A patient presents with Fever, Headache and Muscle weakness. What is the most likely diagnosis?",West Nile Virus Infection,0
"A patient presents with Infant spasms, Developmental regression and Chaotic EEG. What is the most likely diagnosis?",West Syndrome,0
"A patient presents with Prolonged paroxysmal cough, Inspiratory whoop and Vomiting. What is the most likely diagnosis?",Whooping Cough,0
"A patient presents with Eczema, Recurrent infections and Bleeding from low platelets. What is the most likely diagnosis?",Wiskott-Aldrich Syndrome,0
"A patient presents with Palpitations, Rapid heart rate and Possible syncope. What is the most likely diagnosis?",Wolff-Parkinson-White Syndrome,0
"A patient presents with Confusion, Ataxia and Ophthalmoplegia. What is the most likely diagnosis?",Wernicke Encephalopathy,0
"A patient presents with Acute Wernicke signs, Chronic severe memory loss and Confabulation. What is the most likely diagnosis?",Wernicke-Korsakoff Syndrome,0
"A patient presents with Hepatic dysfunction, Tremor, Dystonia and Psychiatric changes. What is the most likely diagnosis?",Wilson Disease,0
"A patient presents with Weight loss, Chronic diarrhea, Arthralgia and Malabsorption. What is the most likely diagnosis?",Whipple Disease,0
A patient presents with Raised rough skin lesions and Sometimes painful plantar warts. What is the most likely diagnosis?,Warts,0
"A patient presents with Soft nodules on hair shafts, Itching and Hair breakage. What is the most likely diagnosis?",White Piedra,0
A patient presents with White spongy oral mucosal patches and Usually painless. What is the most likely diagnosis?,White Sponge Nevus,0
"A patient presents with Abdominal mass, Pain and Hematuria in children. What is the most likely diagnosis?",Wilms Tumor,0
A patient presents with Intermittent abdominal pain and Palpable mobile mass. What is the most likely diagnosis?,Wandering Spleen,0
"A patient presents with Sudden flank pain, Hematuria and Possible shock. What is the most likely diagnosis?",Wunderlich Syndrome,0
A patient presents with Failure to thrive and Hepatosplenomegaly. What is the most likely diagnosis?,Wolman Disease,0
"A patient presents with Microcephaly, Congenital cataracts and Severe developmental delay. What is the most likely diagnosis?",Warburg Micro Syndrome,0
"A patient presents with Itchy red plaques, Blistering and Recurrent episodes. What is the most likely diagnosis?",Wells Syndrome,0
A patient presents with Painful purpura and Skin necrosis. What is the most likely diagnosis?,Warfarin-Induced Skin Necrosis,0
A patient presents with High clinic BP readings and Normal home BP. What is the most likely diagnosis?,White Coat Hypertension,0
"A patient presents with Progressive vision loss, Myopia and Retinal detachment risk. What is the most likely diagnosis?",Wagner Syndrome,0
"A patient presents with Visual deficits, Seizures and Neurologic signs from AVMs. What is the most likely diagnosis?",Wyburn-Mason Syndrome,0
